titulo,nota,texto
"DESTRUIÇÃO DA NATUREZA",0,
"A ARTE DE VIVER BEM  ",58,"                A importÂncia do bom humor e o otimismo para as pessoas é muito essencial principalmente na área da saúde, de acordo com a Organização Mundial da Saúde (OMS ) pessoas que são otimistas e bem humoradas vivem mais, e ajudam evitar doenças .       Adoramos serem bem atendidos e tratados onde vamos e com um sorriso no rosto, sabemos que nem sempre é possível  manter o otimismo e o bom humor mas por que não fazer uma força.      Vivemos atualmente em um mundo noticiando só negatividade, e ficamos bastantes abalados sem termos forças para ficarmos bem e felizes.   uma solução  para esse problema seria se todos nos pudéssemos ter acesso a uma terapia para não ter que lidar com os problemas sozinhos assim podendo ficar mais leves ."
"HOMESCHOOLING OU ENSINO DOMICILIAR",74,"  É notório que nos dias atuais algumas famílias estão preferindo o Homeschooling (ensino domiciliar) do que as instituições de ensino educacional, por que acreditam que o ensino domiciliar pode ser melhor para a formação de seus filhos e preferem seus métodos de ensino. Segundo varias entidades de educação, fóruns e até mesmo especialistas, abordam que a educação domiciliar pode ser prejudicial para o ensino e também para a convivência social das crianças, pois a educação em instituições de ensino assegura que elas convivam com diversos círculos sociais.  Primeiramente os pais não estão capacitados a darem a qualidade de ensino ideal aos seus filhos como as escolas, pois nas instituições há profissionais totalmente especializados para darem o ensino ideal que as crianças e jovens necessitam, sem contar com o convívio social que ajuda as crianças á ter o devido respeito com os colegas e seus superiores. Hoje a educação domiciliar não é regulamentada nem reconhecida no Brasil. Na legislação atual, a lei de Diretrizes e Bases da Educação (LDB) e o Estatuto da Criança e Adolescente tornam obrigatória a matrícula de crianças a partir de quatro anos na escola regular.   Portanto o Governo Federal juntamente com o Ministério da Educação, junto com instituições de ensino e pais devem investir e participar de  palestras que visem propagar o que é a educação domiciliar, quais são as melhores formas de utiliza-las e também a importância das relações sociais para o crescimento pessoal das crianças, pois assim será possível cumprir o que está descrito na instituição."
"A ARTE DE VIVER BEM  ",58,"   Como dizia o autor Thomaz de Aquino ?O humor é um estado de espírito, é um clima?  Pessoas bem humoradas e otimista produz melhor o sentimento de paz, tranquilidade e relaxamento. Sendo assim o otimismo ajuda no desenvolvimento da vida e auxilia em maneiras de adaptações de uma vida melhorada.    Entretanto, estudos comprovam que essas pessoas tem uma vida mais equilibrada, controlada e de um progresso maior. Ressaltando que apesar de tudo mesmo assim ainda contém obstáculos difíceis a serem enfrentados.    Portando o otimismo prevalece a qualquer situação estando ou não em situações desagradáveis. Essa maneira de pensar torna se uma forma de adquirir coisas positivas, pessoas positivas e realização de sonhos.     Contudo, uma boa opção para trazer essa evolução dentro da sociedade, uma aliança entre pessoa públicas e privadas. Para que tenham conscientização do bem estar entre pessoas da sociedade."
"CONDIÇÃO HUMANA",66,"No ditado ?Pau que nasce torto, morre torto? parte do pressuposto que as pessoas nascem de determinada forma, e que não há possibilidade de mudança. Pensar que alguém nasce se algum jeito, ou seja, que há uma essência imutável dentro delas, é desconsiderar a autonomia das pessoas sobre si e, acima de tudo, descartar a possibilidade de que as pessoas estão, na verdade, em um eterno processo de construção. ?Pau que nasce torto, morre torto?, exprime uma ideia falaciosa sobre as pessoas e, até mesmo, superficial. Os indivíduos estão em constante trânsito, e sujeitos à toda sorte de mudanças. Concluímos que, trata-se de uma concepção social do senso comum de um povo ou de um grupo social, repetida irrefletidamente no cotidiano. "
"A ARTE DE VIVER BEM  ",64,"A importância do bom humor e do otimismo, esse aspecto da vida humana que é fator de sucesso e de felicidade.          Uma pessoa positiva, bem humorada faz toda a diferença em família e na sua vida profissional. Tanto no trabalho como em casa devemos ter discernimento para separar os problemas do trabalho, não misturando as coisas.          O segredo do sucesso é sempre estarmos focados, disciplina e o otimismo não pode faltar, afinal de contas nossos resultados só depende de nós. Nós somos o reflexo do nosso trabalho e a felicidade está no amar o que fazemos.          Em nosso dia a dia, temos que procurar entender os problemas por mais complexos que sejam e ter em mente que tudo dá para ser resolvido desde que tenhamos calma, e a forma com que lidamos com os problemas.O segredo do sucesso é saber que todo problema pode ser uma oportunidade disfarçada e com calma, bom humor, sempre teremos pessoas por perto nos ajudando a vencer obstáculos para ter uma qualidade de vida melhor, mais feliz. Nosso estado de espírito tem poder de nós afastar das pessoas, que possamos sempre irradiar paz por onde andarmos."
"FAKE NEWS",68," Conforme António Lobo Antunes, escritor português, ""Um povo que nunca Lê será um povo escravo."" É notório que a disseminação de Notícias falsas ocorre desde muito tempo, Porém no período atual se tornou evidente que traz possíveis malefícios se o indivíduo não busca questionar a real fonte de tal informação. Em primeira análise a origem de uma informação infundada pode se dar por uma imagem reajustada, uma mensagem publicada reestruturada que se parece com original e gera uma série de compartilhamentos parecendo ser de fato uma notícia verídica, influenciando o ser humano que recebe aquela informação a reagir de uma forma inadequada. Além disso, durante a academia a seguir trouxeram o grande problema Devido as diversas notícias manipuladas nas mídias sociais, nos jornais, gerando uma onda de pânico em alguns e uma atitude de descaso em outros, o que dificultou o trabalho do Estado na transmissão da informação de fato. Ademais, os desafios a serem enfrentados são diversos, pois o estado não estava preparado para tanta disseminação de fake News em larga escala e deveria estar entre as principais pautas do congresso a serem questionadas e solucionadas. Portanto, considerando os argumentos citados, cabe ao governo criar órgãos responsáveis por cuidar da propagação de fake News com Leis de punição, pois a pessoa que pratica essa manipulação de Notícias se assegura no anonimato, e cabe ao Ministério das Comunicações a incentivar a sociedade a Ler e questionar as notícias que recebem para não serem escravos da desinformação como acredita Antunes."
"A IMPORTÂNCIA DAS IDEIAS",30,"Penso logo existo   "
"EFICÁCIA DA COMUNICAÇÃO",34,
"EDUCAÇÃO NO BRASIL",0,"Capacitação e valorização do ensino, desenvolvimento das habilidades dos alunos.insercão de tecnologia na vida ,melhora do ambiente educativo."
"EDUCAÇÃO NO BRASIL",58,"   Muito se tem discutido, recentemente, à cerca da Educação no Brasil, pois a educação é o fator principal para o desenvolvimento de um País. Contudo, a realidade é justamente o oposto, uma vez que o país apresenta uma grande desigualdade social.      Essa desigualdade educacional no Brasil se intensificou logo após a pandemia do novo corona vírus, atingindo principalmente as pessoas das comunidades rurais e de regiões mais afastadas. Acarretou um grande abandono escolar, devido a implementação do ensino remoto.       Em virtudes dos fatos mencionados, o governo poderia criar um programa com o objetivo de doar celulares ou computadores para os alunos mais carentes financeiramente, para que pudessem ser implantados nesse novo modo de ensino remoto. "
"A IMPORTÂNCIA DAS IDEIAS",82,"     Ter ideias é fundamental para o crescimento de um ser, sem elas não conseguimos realizar sequer uma tarefa. Sendo assim é importante fazermos boas escolhas para colhermos bons resultados. Porém ter ideias em si não basta, ela passa a ter valor assim que testada, desenvolvida, e a partir dai ela ganha sentido prático.     Digamos que hoje em dia as pessoas vivem pensando mais em futilidades do que nos próprios valores, deixando-os para trás. É usando tais valores que construímos uma sociedade melhor, de paz, harmonia, sem corrupção e segurança em todos âmbitos.     O escritor Rubem Alves trouxe uma crônica bem interessante sobre o assunto ""Dor-de-ideia"", que seria a dor de pensamentos negativos como os exemplos trazidos por ele ""perder o emprego; ideia de ser feio; ideia de ser burro; a ideia de que o filho vai morrer num desastre; a ideia de que Deus vai mandá-lo para o inferno, a ideia de que quem você ama vai traí-lo."" essas ideias que trazem dores, medos e inseguranças devem ser deixadas de lado e que permaneça os pensamentos positivos como: "" que quem você ama não vai te trair, pois o sentimento é reciproco; não vai perder o emprego, pois você se esforça pra que isso não aconteça; se achar bonito; se achar inteligente e que seu filho vai ficar bem e você irá vê-lo formar"", isso ajudará sua sanidade mental, seu corpo irá conseguir relaxar com o alivio desses pensamentos positivos.     Em suma, como foi citado anteriormente, o valor das ideais tem consequências na vida do homem, podendo causar transformações, se tornando evidente a necessidade de consideramos em nossas vidas apenas as boas ideias e os bons valores, a fim de que todos sigam os melhores caminhos, seja ele na politica, religião, individual, ou coletivo.   "
"PROBLEMAS DE COMUNICAÇÃO ",72,"Demasiadamente é discutido a respeito dos relacionamentos sociais e afetivos na sociedade atual. Quando Zygmunt Bauman diz: ""Tudo é mais fácil na vida virtual, mas perdemos a arte das relações sociais e da amizade"", surge uma relação com a problemática da ausência das interações na sociedade contemporânea que se decorre por dois principais motivos: avanço da tecnologia; e o surgimento das redes sociais.Desse modo, o avanço tecnológico trouxe benefícios para a humanidade pois permitiu acesso a educação e melhorias no meio da comunicação, contudo, ela também trouxe malefícios como por exemplo, o vício. Uma pessoa é capaz de passar o dia inteiro em frente um aparelho eletrônico e isso faz com que essa pessoa não tenha interações com outros indivíduos, fator que pode gerar doenças graves, dentre elas a depressão.Ao lado disso, o aparecimento das redes sociais foi o ênfase para o relacionamento afetivo e social ser menos comum atualmente. Em um ambiente social, as pessoas optam por mexer nas redes sociais ao invés de se comunicarem uns com outros e deixam de viver experiências únicas por tomarem essa decisão. Ademais, as redes sociais possibilitou a troca de mensagens, o que de certa forma nos faz ter uma comunicação com pessoas de difícil aproximação.Em suma, é necessário que a família desde cedo evite que as crianças e adolescentes tenham contato com aparelhos eletrônicos de forma constante e viciosa. Como também, é dever das escolas ensinarem os alunos a importância da naturalidade de conversar frente a frente com um indivíduo. Para isso se realizar, uma atitude de todos deve ser tomada com urgência, sendo assim, no futuro a comunicação poderá voltar a ser de forma natural e as redes sociais serão usadas com sabedoria e de forma saudável."
"A IMPORTÂNCIA DAS IDEIAS",56,"       As ideias  têm um valor muito grande na nossa sociedade , pois elas podem causar problemas sérios em nossas vidas mas essas ideias de uma certa maneira podem ajudar também como por exemplo valorizar mais certas coisas importantes em nossa vida,como o filósofo Friedrich Nietzsche disse "" o que não provoca minha morte faz com que eu fique mais forte"" ,por exemplo nessa pandemia que estamos passando tivemos muitas dores-de-ideias e esta situação prejudicou muitas pessoas mas transformou a mente de muitos como dar mais valor em suas famílias ,valorizar o tempo passageiro.       Nesse contexto , percebemos que as ideias são tanto para o mal quanto para o bem ,toda essa ideia de perda nas áreas da nossa vida tem que ser equilibrada porque se você persiste muito nisso pode prejudicá-lo.         Desta maneira concluímos que as ideias são importantes mas também são desnecessárias,e que temos que viver a nossa vida sem deixar essas dores de ideias nós causar transtornos como a depressão,a ansiedade ,crise de pânico e outros ."
"BOM HUMOR",62,"O bom humor realmente muda algo em nossas vidas ? Quando falamos de bom humor, falamos também sobre uma vida mais leve, e acima de tudo, o quanto essa característica nos tornam pessoas mais comunicativas.  Em primeira instância, podemos citar a fácil notoriedade de uma vida graciosa que as pessoas com bom humor levam. Fato é, que quanto mais alegria nos permitimos sentir, menos os problemas emocionais e psicológicos nos afetam. Isso acontece porque passamos a enxergar, no sofrimento, um motivo para sorrir e comemorar. Em segundo lugar, é de estrema importância ressaltarmos que o bom humor, acima de tudo, ajuda e facilita na boa comunicação com as pessoas em nossa volta, sejam elas familiares ou do ambiente profissional. Pode-se então concluir que indivíduos que enxergam a vida com maior positividade, tendem a criar maiores laços com o público, não somente isso, como também conseguem obter mais resultados na vida, pois o otimismo está diretamente ligado ao sucesso. Seria interessante então, que pessoas que possuem qualquer dificuldade de humor, procurasse se abrir mais ao mundo com ajuda de um profissional, para assim, poder desfrutar das coisas incríveis que a vida proporciona.  "
"TECNOLOGIAS NA EDUCAÇÃO ",0,
FELICIDADE,72,"Se pesquisarmos no dicionário veremos que felicidade é a qualidade ou estado de feliz, estado de uma consciência satisfeita e contente. A condição humana é composta por cobranças de resultados tornando mais difícil o reconhecimento de momentos felizes.A felicidade move o ser humano, uns associam a perfeição, conquista, sucesso, ou bens materiais. Cada um enxerga da sua forma, sendo em condição ou estado, em termo, se promove ou sente, portanto, é um conceito variável. O sentimento não é constante, é efêmero. O ápice da felicidade moderna é o padrão consumista, ligado à situação econômica, o prazer de desfrutar do sonho de consumo, satisfazendo egos e padrões, consequentemente passa a ser o objetivo para ser feliz. Quando se condiciona a algo ou alguém, atingir é concluir, por essa razão se perde a grandeza do estado.Portanto, ser feliz é singular, não é possível generalizar, cada um sente a sua forma, sempre agregando e mitigando dores. A felicidade é oscilante e feita de momento, cabe a nós aproveitar cada um deles, em busca de constância nos processos e maior benefício."
"MOBILIDADE URBANA",56,"                    O aumento do poder aquisitivo de compra veio com um grande problema, relacionado ao grande número de carros obtidos pela população, assim tendo um um enxame de carros nas ruas, atrapalhando o trafego de automóveis.                                                                                                                                                                                   Além disso o planeta terra começou a apresentar um grande número de poluentes no ar, causado pela fumaça expelida pelos automóveis, além de que congestionamento em rodovias pode causar problemas como assaltos, já que com o carro parado se torna um alvo fácil.                                                                                                   E transportes públicos como ônibus são negligenciados muito das vezes pela população, o que dificulta mais ainda a mobilidade em grandes centros urbanos, bicicletas também e deixado de lado pelas pessoas                                                                                                                                                                                                                 O melhor a se fazer seria incentivo das prefeituras a meio de transportes mais seguros e menos poluentes, caso seja um local perto, se locomover a pé seria o ideal, a média distancia bicicletas, e caso seja uma distancia maior, o ideal seria o uso de transportes públicos como ônibus. porém transportes como ônibus precisam ser mais confortáveis, já que a grande maioria está em situações precárias. após todos esses incentivos, em cerca de alguns anos pode se resolver o problema da mobilidade dos grandes centros urbanos"
"IMPORTÂNCIA DA LEITURA",78,"           O escritor Carlos Drummond de Andrade, afirma  que "" A  leitura é uma fonte inesgotável de prazer mas por incrível que pareça, a quase totalidade,  não sente esta sede"". Ler é um instrumento de empenhar-se no mundo, a prática da leitura amplia no conhecimento pessoal e profissional, bem como forma cidadãos críticos e atuante na sociedade em que tem existência. Monteiro Lobato, famoso escritor brasileiro, em uma das suas célebres colocações, consolidou-se que "" Um país se faz com homens e livros."", décadas depois, este pensamento ainda reflete de maneira fiel a realidade atual no Brasil. Tendo em vista, a deficiência de tal prática no cotidiano dos brasileiros, gera problemas educacionais, políticos e econômicos, além de melhorar sua escrita e principalmente seu vocabulário.           A principio, o instituto Brasileiro de Geografia e estatística (IBGE), declara que a a taxa de analfabetismo entre jovens e adultos regrediu, porém, minunciosamente, além da incidência de analfabetos destaca-se também que consiste na incapacidade de um individuo alfabetizado inclusive estudante de nível- superior entender ou interpretar texto. Isto se dá em virtude da não valorização da educação infantil de qualidade, resultando no aumento de pessoas reprodutoras de pensamento ao invés de produtora de suas próprias ideias, a leitura é aplicada, em sociedades possuidoras de um governo interessado em educação, como veículo transportador de ideologias e ensinamentos. A prática da observação das escritas possui um poder transformador e de natureza humana, além disso a leitura possui essência transformadora favorável no mundo, atraindo novas formas de pensar, adaptar e formar ideias, os Governos Federais possuem o dever e criar leis a disponibilização de acesso a bibliotecas e da conhecimento a todos.          Somado a isso, é importante ressaltar que a falta da leitura prejudica no desenvolvimento acadêmico, o que prejudica na fase escolar e dificulta o ingresso em uma faculdade de qualidade no país. Do mesmo modo, a lei 11.899, publicada em 8 de janeiro de 2009, criou o dia nacional da leitura, além de criar a semana nacional da leitura e da literatura, demonstrando a importância desse método para o conhecimento. Além disso, a leitura ajuda no crescimento cerebral para ter uma resposta mais rápida e desenvolver uma leitura com mais precisão. Dessa maneira, é evidente que a leitura contribui muito para o desenvolvimento de uma pessoa, assim, algo deve ser feito para tornar um hábito mais efetivo em todo o país.         Portanto, ler de forma crítica adiciona um poder maio ao leitor, que observa as nuances e as questões implícitas do texto mais facilmente , a criança é estimulada desde cedo a ter contatos com livros, consequentemente pais terão obrigação de dar incentivos as crianças e adolescente que traga o habito de ler e escrever. Diante dos fatos, e de suma importância que escolas elabore palestras sobre a relevância a importância da leitura. Por parte do governo, faz-se necessário o investimento não só nas estruturas das escolas, mas também na formação dos professores, para que esses recebam instruções a fim de tornar tais costumes poderosos, por fim ler é como alimentar-se sabor aos olhos, nutrição a alma, forças e aos pensamentos. "
"DIREITOS DAS CRIANÇAS E ADOLESCENTES NO BRASIL ",76,"     Segundo Albert Einstein, ""O estudo em geral, a busca da verdade e da beleza são domínios em que nos é consentido ficar crianças toda a vida"". Dessa maneira, as crianças e adolescentes são essenciais, uma vez que carregam alegria e bondade, parte que todo adulto deveria ter, pois estão sempre em busca do novo e novas aventuras, porém no Brasil, muitos acabam sem esse direito com problemas que aparecem desde o começo da vida. Assim, é importante retratar sobre a desigualdade social e a influência externa sob os jovens.     A princípio, é necessário abordar a desigualdade social existente no país, uma vez que algumas crianças brincam e possuem uma vida saudável, muitas nascem na pobreza, com falta de alimentos e necessitam trabalhar desde bem novas para se sustentarem e manter a vida. De acordo com a lei 8.069, de 13 de julho de 1990, o artigo 1 garante a proteção integral à criança e ao adolescente, porém acaba não sendo efetiva 100% em todo território nacional. Dessa maneira, muitas crianças crescem sem mesmo ir à escola, perdendo oportunidades de inclusão social e perdem o direito à educação, garantido pelo Estatuto da Criança e do Adolescente (ECA).     Somado a isso, é importante ressaltar a influência externa sob os jovens que acaba por alterar seus pensamentos e modos de agir. Desse modo, muitos jovens são influenciados por amigos e midias socias à ingressar em gangues e entram no mundo ilegal, utilizando de drogas, porte de armas afim de adequar ao meio social. Segundo a psicóloga Juliana Spinelli, a influência das relações humanas acaba sendo determinante na constituição do ser humano atribuindo características permanentes sob o indivíduo. Assim, o desenvolvimento dos jovens é de suma importância e dever ser bem pensado, afim de reduzir chances de problemas futuros.     Portanto, quando se trata da sob os direitos das crianças e dos adolescentes no Brasil, muito ainda deve ser feito para amenizar essa vertente que cresce no Brasil, afim de evitar consequências na fase adulta. Logo, cabe ao Ministério da Mulher, da Família e dos Direitos Humanos, coordenado por Damares Alves, garantir que o ECA seja cumprido, e auxiliar os pais com materias publicitários sob a importância do desenvolvimento dos jovens e a importância para a fase adulta dos mesmos. Dessa maneira, as crianças poderão viver seus melhores momentos, com muita alegria e curiosidade, de modo correspondente ao pensamento de Albert Einstein."
"ABAIXO O PRECONCEITO",68,"Vivemos em um mundo que tem enraizado por antigas tradições e culturas o conceito de a mulher é inferior ao homem em relação a inteligência e força. Essas manifestações preconceituosas contra as mulheres podem vir como desigualdade salarial, sua posição no mercado de trabalho, afetando-as de todas as formas como psicologicamente, socialmente e fisicamente.Assim como representado na série One Day at a Time da Netflix no episódio Piloto é contado a história de Penelope, uma mãe solteira e enfermeira que mesmo trabalhando mais tempo e com mais obrigações que seu colega de serviço, recebia um salário abaixo do mesmo pelo simples fato de ser uma mulher. A série representa o que as mulheres vivenciam todos os dias e os problemas criados a partir disso.Além disso, o preconceito contra a mulher não está somente em seu ambiente de trabalho, está nas famílias, escolas e nas ruas, esse preconceito pode gerar violência colocando em risco a vida de diversas mulheres ao redor do mundo. O pedido de desculpas pode e deve ser usado, mas somente quando é verdadeiro e não publicamente para melhorar a imagem.Desse modo, é necessária uma conscientização de forma geral as mulheres de todas as idades e também aos homens, é preciso mais empatia e companheirismo. Através do Ministério da mulher, família e direitos humanos, deve-se criar uma lei para que seja implementado nas escolas uma forma de informar, ensinar e alertar que essas manifestações preconceituosas não devem ocorrer."
"ABAIXO O PRECONCEITO",64,"Apesar do respeito para com as mulheres ser muito importante, no Brasil ele não é praticado. Esse comportamento brasileiro advém claramente da desigualdade de gênero. Assim, dentre os fatores que corroboram esse quadro, está á cultura machista e a negligência do estado. Dessa forma, torna-se claro como a cultura machista gera a falta de respeito para com as mulheres. Isso ocorre porque a sociedade atual trás esse comportamento desde o berço. Como consequência desse quadro temos a atitude de prepotência dos homens relativamente às mulheres, ilustra-se esse cenário a violência doméstica que as mulheres vêm sofrendo.Além disso, percebe-se que a negligência do estado naturaliza a falta de respeito para com as mulheres. Essa situação acontece, pois o estado recusa a igualdade de direitos e deveres entre os gêneros sexuais. Resultado claro desse panorama é a luta para as mulheres terem a igualdade de direitos e deveres. Exemplifica-se essa vicissitude o feminismo ganhando voz na sociedade. Diante do exposto é necessário perceber que a falta de respeito para com as mulheres  é fruto inegável da desigualdade de gênero. Para solucionar a problemática, o governo federal deve atuar por meio do Plano Nacional de Equidade, que proponha ao Ministério da Mulher, da Família e dos Direitos Humanos a promoção de campanhas publicitárias que apresentam a equidade entre os gêneros. Além disso o Plano Nacional deve conter o apoio da CONAR, que forneça um apoio psicológico e financeiro a todas as mulheres que sofrem por conta desse comportamento, a fim de que elas fiquem bem psicologicamente e falem cada vez mais desse assunto, dando voz á importância do respeito. "
"CULTO AO CORPO",76,"                                               No contexto nacional atual a pandemia mostrou que a falta de exercício físico pode gerar comprometimento a saúde, o filosofo Descartes acredita que a mente está ligada ao corpo com isso é possível aliviar as tensões do corpo e estresse da mente através de exercícios físicos no entanto a prática atlética em excesso pode causar dependência fazendo com que o corpo trabalhe acima do limite.                                              Nesse sentido á prática atlética está ligada com treinos intensos para competições como por exemplo olímpiadas onde o atleta precisa sempre treinar para ser superior ao seu adversário para conseguir vencer, essa vontade de vencer faz com que o corpo trabalhe acima do limite ocasionando perda da produtividade, falta de concentração e irritabilidade dentre outras lesões físicas que pode causar no corpo.                                            A prática do exercício físico é relacionada a pratica de atividades em series de agachamentos, caminhadas e entre outros exercícios, realizadas regularmente essa pratica em moderação faz com que o corpo acelere o metabolismo aliviando os estresses e tensões, diminuindo também a ansiedade, a falta de praticar qualquer atividade faz com que o corpo fique sedentário podendo gerar obesidade ou seja doenças que coloca em risco a saúde.                                           Ademais através dessas informações é notável que todo ser humano necessita realizar práticas de atividades físicas com regularidade através de profissionais especializados nessa área para que ocorra uma programação correta dessa pratica sem prejudicar o corpo e a saúde ate para os apaixonados por praticas atletas poder competir sem ultrapassar o limite de seu corpo."
"A IMPORTANCIA DO CONHECIMENTO ",56,"O conhecimento não é só aquilo que aprendem na escola, mas sim aquilo que aprendem em seu cotidiano. Dia  após dia, as pessoas tem um novo conhecimento que pode muda-las por completo.A cada novo dia as pessoas buscam por mais conhecimento para não só ficarem mais conectadas no tempo atual,quanto também para aprimorarem o que ja sabiam. Isso é muito importante visto que em meio a pandemia da Covid 19, sem o conhecimento dos cientistas ou da própria população sobre os métodos de prevenções, o resultado seria mais catastrófico.Por isso a cada novo dia as pessoas devem expandir os seus conhecimentos, desde ler livros, até a se formarem em um ensino superior. Para que assim estejam preparados para os desafios da vida"
INTOLERÂNCIA,62,"É perceptível nos dias atuais a grandeza da intolerância com diversos grupos, tais dele como os religiosos, negros e homossexuais, mediante ao tradicionalismo e pouca representatividade que a própria mídia da as minorias, representante o que aparentemente é considerado normal, excluindo ainda mais esses grupos citados à cima. Triste é quando usam de forma violenta atos físicos ou psicológicos para combater essas pessoas consideradas diferentes ou anormais.Para que se tenha sucesso no combate à esse preconceito, seria necessário à aplicação de penas rígidas e justas. Sonhamos com um mundo melhor, com sociedade que abraça a diversidade."
"CONDIÇÃO HUMANA",62,"Somos todos seres humanos, e isso parece muito óbvio..Mas apesar da nossa humanidade somos muitas vezes reféns do contexto social em que vivemos.Uma criança que cresce em um contexto familiar aonde não recebe afeto e amor, convivendo com fatos que nem podemos imaginar.Provavelmente terão seus demônios na fase adulta e que por muitas vezes poderá acabar escolhendo situações e caminhos errados. Por outro lado também a crianças que crescem tendo tudo,no sentido financeiro e afetivo mas que também  perde no caminho os valores e princípios aprendindos no lar.A questão é! O que fazem essas pessoa mudarem?A resposta a essa pergunta acredito que seja diferente para cada um destes citados acima com histórias parecidas ou não.Porque só quem decide mudar sua posição atual sabe o que as motiva.Não acredito em pau que nasce torto, mas sim em pau que se desgasta e entortam com o passar do tempo. E assim como mudam as estações. Sempre haverá dentro de nos mudanças, que nos permitem sermos melhores a cada dia, de acordo com os pensamentos e ações que cultivamos."
FELICIDADE,64,"A felicidade nunca e constante, simplesmente não tem como ficar feliz o tempo todo, mas isso e normal. Quando algo lhe causa uma grande sensação de felicidade e após um tempo essa sensação passa e porque o momento que aquele algo causou não e mais novo e sim comum, a felicidade tende a diminuir até o ponto de ficar imperceptível, não que isso signifique infelicidade mas apenas mostra que para ser feliz o tempo todo e necessário ter desejos novos e que sejam saciados rapidamente o que é praticamente impossível. Quando se estar na desesperança e algo espetacular acontece de fato causa uma sensação de felicidade, porém não tem como medir essa felicidade, não tem como dizer que a felicidade que e conquistada quando um desejo e saciado e menor do que uma que e conquistada se contrapondo a uma situação de desesperança, felicidade e felicidade não importa o ponto de vista o que realmente importa e a frequência que ela se manifesta.A felicidade também pode ser associada ao prazer, de certa forma um complementa o outro, o prazer de conseguir algo que desejava ou o prazer de ser acolhido em um momento difícil irá geral uma sensação felicidade. A muitas formas de se encontrar a felicidade, são momentos inesquecíveis e únicos na religião, na família, nos amigos e no trabalho. Tudo se resume ao momento em que se ganha o prazer, o momento em que essa sensação de prazer se torna felicidade.A visão do que e a felicidade e como consegui-la não e algo simples, cada um tem sua visão, através da história vários pensadores, filósofos e profetas descreveram a sua visão de felicidade e como conseguir ela e cada uma e diferente da outra, a própria biologia tem uma resposta para o que é a felicidade, que não passa de reações químicas acontecendo no cérebro que causa a sensação de prazer que por sua vez causa a felicidade. Mas o fato e que não importa a explicação o fato inegável e todos preferem vivenciar os momentos de felicidade afinal e isso que torna a vida inesquecível e esses raros e pequenos momentos que fazem com que todos continuem e o que verdadeiramente move o ser humano, sempre em busca da felicidade."
"NECESSIDADE DE LEI SECA",58,"Necessidade de leis e medidas mais severas para inibir prática de motoristas embriagados dirigirem veículos automotores.As leis são necessáriasNormas e leis foram feitas para serem seguidas e foram criadas por algum motivo, necessidade.para todos os efeitos as leis de trânsito ajuda justamente na segurança de todos os envolvidos.Uma vez que fossem seguidas corretamente evitariam ao máximo os transtornos e perdas causadas nas ruas.somos nosso próprio acerto e erro, somos quem fazemos nossas escolhas e devemos então aceitar as consequências das mesma.Dirigir por ai com consciência e atenção, pensando não somente em si próprio mas sim em um todo.Com 12 anos de aprovação da lei seca no Brasil a redução de acidentes causados foi grande e autentica. é necessário leis ainda mais serias e rígidas no país, mas aos poucos estamos chegando a ser menos violentos e invasivos uns com os outros.Contudo, os efeitos da lei seca são positivos. que seja ainda melhor com o passar dos anos.que não seja só planos e que aconteça e que seja compreendida e realizada por todos."
"DIREITOS DAS CRIANÇAS E ADOLESCENTES NO BRASIL ",66," A Constituição Federal de 1988,documento jurídico mais importante do pais, prevê, no artigo 227, o direito da criança e do adolescente, dando a eles a total prioridade à cultura, ao respeito, proporcionando dignidade humana, protegendo-os de absurdos como a violência, abuso, dentre outras atrocidades. Alguns fatores como o trabalho infantil e o criminalidade precoce ferem esses princípios propostos pela Carta Magna.   Devido as dificuldades economias vividas no pais, é cada vez mais frequente adolescentes abandonarem os estudos para ingressarem mais cedo no mercado de trabalho, com o intuito de ajudar financeiramente no âmbito familiar. O trabalho infantil priva o jovem de estudo, tendo em vista que, na maioria das vezes, não será possível conciliar o estudo com o trabalho prejudicando assim seu desenvolvimento intelectual causando assim um retrocesso na formação de futuros profissionais qualificados no mercado de trabalho. Ademais, é fundamental apontar a criminalidade infantil como um empecilho no cumprimento dos direitos das crianças e dos adolescentes. Segundo estudos, crimes cometidos por menores infratores tem sido cada vez mais comum na sociedade, o que é inadmissível que perdure. Com o aumento de crimes, consequentemente o aumento de prisões de menores se eleva, fazendo com que o acesso à educação, cultura, lazer e saúde se torne mais difícil ferindo assim os direitos garantidos pelo Estado. Depreende-se portanto, a necessidade de se combater esses obstáculos. Para isso, é imprescindível que o Estado, por intermédio de investimentos em projetos sociais, boas condições de estudo e assistência às famílias necessitadas, afim de promover um ambiente favorável ao desenvolvimento intelectual, social e cultural previsto pelo objeto jurídico de maior importância da federação, a Constituição Federal."
"A IMPORTÂNCIA DO TRABALHO E O PROGRESSO SOCIAL ",0,
"DESTRUIÇÃO DA NATUREZA",52,"Acho que nossa humanidade pode ser salva sim.Todos esses problemas que estão ocorrendo são por causa da sociedade , problemas com limpeza, ambiente, poluição tudo isso.E sinceramente isso não vai mudar tão cedo, mas e possível que mude futuramente...Eu creio que se nossa sociedade se conscientizar , tudo pode correr bem.Vai demorar pra isso acontecer, muitos anos na verdade...Porém temos potencial pra desenvolver isso futuramente, cada um tem que fazer por si, evitar poluir e acabar com tudo, creio que isso vira com o tempo."
